,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
4221,Cereal (Kellogg's Froot Loops),Cereal (Kellogg's Froot Loops),57213000,19,29,0,88.0,0,10.5,9.3,442,0,17.2,5.3,498,1.47,5.9,34.5,1.29,2.5,0.6,0.9,1.8,3.4,10,0.089,15.5,31,74,117,469,5.2,501,5.2,1.72,52.0,0.15,0.3,3
4222,Cereal (Kellogg's Froot Loops Marshmallow),Cereal (Kellogg's Froot Loops Marshmallow),57213010,12,19,0,89.3,0,5.8,7.4,283,0,17.2,4.59,505,1.47,8.5,49.9,1.28,2.5,0.5,0.69,1.5,2.79,9,0.086,15.5,25,65,95,393,5.19,507,5.19,1.72,52.0,0.3,0.6,3
4223,Cereal (General Mills Cheerios Frosted),Cereal (General Mills Cheerios Frosted),57213850,2,3,0,79.8,0,28.5,7.5,116,0,18.5,9.0,554,1.6,21.6,32.0,1.39,2.2,1.7,1.79,1.1,4.69,370,0.269,16.7,89,296,254,553,13.89,554,5.59,1.85,22.2,0.33,1.5,3
4224,Cereal (Kellogg's Frosted Mini-Wheats),Cereal (Kellogg's Frosted Mini-Wheats),57214000,0,4,0,83.4,0,25.3,10.8,167,0,8.6,9.2,0,0.73,4.1,20.3,0.65,4.8,0.2,0.9,0.4,1.6,28,0.35,28.0,86,368,363,2,2.7,0,2.6,0.86,0.0,0.67,1.6,3
4225,Cereal,"Cereal, frosted rice",57216000,0,0,0,91.3,0,3.6,0.5,0,0,16.7,4.3,1250,1.42,15.4,40.2,1.25,2.5,0.1,0.1,0.1,0.4,6,0.164,18.0,23,81,59,371,0.8,1250,5.0,1.67,50.0,11.25,0.1,3
4226,Cereal,"Cereal, fruit rings",57221700,24,37,0,85.94,0,5.8,2.2,625,0,15.63,4.69,444,1.33,9.9,45.31,1.16,2.5,1.47,0.976,0.687,3.2,313,0.064,28.12,24,78,104,453,11.72,448,4.69,1.55,18.8,0.01,0.1,3
4227,Cereal (General Mills Cheerios Fruity),Cereal (General Mills Cheerios Fruity),57221810,25,38,0,84.19,0,17.5,5.9,687,0,18.5,5.8,530,1.6,13.1,32.2,1.39,2.2,1.79,1.89,0.69,4.59,370,0.194,16.7,30,222,214,501,13.89,534,5.59,1.85,55.6,0.79,0.9,3
4228,Cereal (Post Fruity Pebbles),Cereal (Post Fruity Pebbles),57223000,0,0,0,86.1,0,3.7,0.8,0,0,18.52,4.62,833,1.57,10.2,34.28,1.39,3.0,0.16,0.12,3.6,4.02,19,0.14,6.67,16,71,72,531,5.56,833,5.56,1.85,22.2,0.13,1.3,3
4229,Cereal (General Mills Golden Grahams),Cereal (General Mills Golden Grahams),57224000,13,21,0,85.1,0,15.2,5.6,410,0,16.1,5.3,470,1.4,5.6,35.0,1.2,2.2,1.6,1.0,0.4,3.2,323,0.206,14.5,26,129,206,772,12.1,472,4.8,1.613,19.4,0.64,2.0,3
4233,Cereal (Post Grape-Nuts),Cereal (Post Grape-Nuts),57230000,0,2,0,80.49,0,31.9,13.0,166,0,8.62,11.22,0,0.12,9.1,8.86,0.65,3.5,0.21,0.78,0.34,1.81,32,0.34,28.0,124,467,400,465,2.07,0,0.0,0.86,0.1,0.62,2.0,3
4234,Cereal (Post Great Grains Raisins,"Cereal (Post Great Grains Raisins, Dates, and Pecans)",57231200,0,4,1,74.3,0,24.1,9.3,115,0,9.1,7.9,407,0.8,30.4,24.1,0.7,8.5,3.8,2.1,0.8,7.1,39,0.4,16.4,87,253,378,247,2.2,407,2.7,0.9,0.5,0.57,2.6,3
4235,Cereal (Post Honey Bunches of Oats Honey Roasted),Cereal (Post Honey Bunches of Oats Honey Roasted),57237100,4,16,28,81.19,0,13.4,4.2,445,0,17.8,7.12,803,1.25,7.3,19.79,1.223,5.0,2.831,1.307,0.64,5.46,23,0.59,34.82,50,156,209,454,5.03,806,9.67,2.64,0.0,1.22,3.0,3
4236,Cereal (Post Honey Bunches of Oats with Vanilla Bunches),Cereal (Post Honey Bunches of Oats with Vanilla Bunches),57237200,2,11,18,81.8,0,22.9,7.8,141,0,8.9,7.9,525,0.8,7.3,20.7,0.7,3.0,2.5,1.7,0.6,5.1,33,0.3,28.9,75,232,262,267,6.7,527,2.7,0.9,0.0,0.94,3.3,3
4237,Cereal (Post Honey Bunches of Oats with Almonds),Cereal (Post Honey Bunches of Oats with Almonds),57237300,28,43,0,79.6,0,21.4,5.5,630,0,15.6,7.7,675,1.3,12.0,20.0,1.2,2.9,4.0,2.1,0.8,7.3,35,0.2,33.8,61,172,211,417,0.9,680,4.7,1.6,0.0,1.86,3.1,3
4238,Cereal (Post Honeycomb),Cereal (Post Honeycomb),57238000,30,46,0,86.63,0,8.6,3.2,681,0,15.62,6.01,672,1.33,10.4,31.51,1.17,1.5,0.6,0.91,1.29,2.93,11,0.13,8.44,45,132,142,553,4.69,678,4.69,1.56,0.0,0.17,0.6,3
4239,Cereal (General Mills Chex Honey Nut),Cereal (General Mills Chex Honey Nut),57240100,44,67,0,86.67,0,11.3,3.9,1039,0,15.6,6.3,424,1.29,10.5,28.1,1.2,2.2,0.5,1.0,0.5,2.0,313,0.13,14.1,25,63,219,600,11.69,432,4.69,1.56,18.8,0.21,0.1,3
4240,Cereal (General Mills Cheerios Honey Nut),Cereal (General Mills Cheerios Honey Nut),57241000,0,1,0,79.69,0,20.6,7.1,50,0,21.4,8.85,834,1.867,16.0,32.89,1.917,2.86,1.104,1.024,0.529,5.0,425,0.234,20.58,90,328,412,566,17.17,834,7.5,2.267,21.4,0.48,2.3,3
4241,Cereal (Post Shredded Wheat Honey Nut),Cereal (Post Shredded Wheat Honey Nut),57241200,0,4,0,83.6,0,20.0,10.7,166,0,8.5,8.5,0,0.7,40.9,20.7,0.6,3.0,1.2,1.2,0.4,2.9,38,0.3,28.0,93,274,348,102,2.5,0,2.5,0.8,0.0,1.2,1.5,3
4242,Cereal (Kellogg's Honey Smacks),Cereal (Kellogg's Honey Smacks),57243000,0,0,0,88.5,0,15.6,5.0,92,0,18.5,5.7,556,1.57,29.1,56.2,1.39,2.9,0.4,0.5,0.5,2.2,14,0.195,1.5,59,213,183,142,1.7,556,5.6,1.85,22.0,0.41,2.8,3
4248,Cereal (Kashi Heart to Heart Honey Toasted Oat),Cereal (Kashi Heart to Heart Honey Toasted Oat),57301530,12,2267,0,78.69,0,19.5,13.7,457,0,1.0,11.39,0,0.07,21.4,15.5,0.31,2.5,1.79,1.79,1.0,5.0,41,0.251,2.4,7,38,243,267,0.1,189,18.0,6.05,91.0,60.97,2.4,3
4249,Cereal (General Mills Kix),Cereal (General Mills Kix),57303100,52,80,0,82.82,0,15.3,8.8,1236,0,24.25,7.69,870,2.0,8.5,9.76,1.955,2.79,0.99,1.277,0.576,3.46,570,0.142,32.0,51,189,223,596,17.42,879,5.7,2.3,25.4,0.3,0.2,3
4250,Cereal (General Mills Honey Kix),Cereal (General Mills Honey Kix),57303105,49,74,0,83.0,0,16.4,8.3,1097,0,21.2,6.4,860,2.29,13.1,18.2,2.29,2.37,1.002,1.5,0.535,3.9,455,0.12,38.2,49,182,212,582,18.2,868,6.4,2.72,27.3,0.0,0.2,3
4251,Cereal (Kellogg's Krave),Cereal (Kellogg's Krave),57303200,0,2,0,82.08,0,27.1,10.1,79,0,21.524,6.19,690,1.829,30.1,33.23,1.61,2.86,0.19,0.571,6.0,6.97,17,0.362,24.86,58,167,259,554,1.33,690,6.48,2.152,64.8,0.5,1.7,3
4252,Cereal (Quaker Life),Cereal (Quaker Life),57304100,1,18,11,77.74,0,24.0,6.6,99,0,17.18,9.98,0,1.49,23.0,19.43,1.28,4.3,1.48,1.42,0.83,4.43,351,0.277,29.33,98,423,283,501,13.78,2,0.0,1.8,0.0,0.61,1.2,3
4253,Cereal (General Mills Lucky Charms),Cereal (General Mills Lucky Charms),57305100,0,0,0,80.89,0,16.1,5.0,92,0,25.3,7.67,847,1.723,14.6,36.13,1.737,4.15,1.586,1.542,0.885,5.02,434,0.213,22.27,74,289,222,648,18.62,847,6.8,3.01,26.6,0.45,1.4,3
4254,Cereal,"Cereal, frosted oat cereal with marshmallows",57305150,0,0,0,84.7,0,16.1,4.3,92,0,17.64,7.1,500,1.5,14.6,36.13,1.32,2.8,1.1,1.28,0.62,3.33,333,0.141,15.0,28,141,207,533,7.94,500,5.29,1.76,20.0,0.45,1.4,3
4255,Cereal (Malt-O-Meal Blueberry Muffin Tops),Cereal (Malt-O-Meal Blueberry Muffin Tops),57305160,0,0,0,81.81,0,26.1,10.9,184,0,9.09,9.09,0,0.76,52.0,20.0,0.68,5.5,0.797,0.721,0.228,1.94,29,0.364,29.45,100,273,327,18,6.82,0,2.73,0.91,0.0,0.86,1.6,3
4256,Cereal (Malt-O-Meal Cinnamon Toasters),Cereal (Malt-O-Meal Cinnamon Toasters),57305165,0,3,2,78.33,0,16.1,5.0,73,0,16.67,3.32,498,1.41,25.3,32.86,1.25,3.0,3.92,4.13,1.85,12.06,333,0.133,30.0,27,250,157,473,12.5,498,5.0,1.66,20.0,0.43,1.6,3
4257,Cereal (Malt-O-Meal Coco-Roos),Cereal (Malt-O-Meal Coco-Roos),57305170,23,35,0,86.75,0,2.6,3.3,543,0,16.67,3.41,477,1.41,5.2,48.11,1.25,2.5,0.887,0.555,2.57,4.61,333,0.319,30.0,27,72,201,350,12.5,481,5.0,1.66,20.0,0.02,0.0,3
4258,Cereal (Malt-O-Meal Colossal Crunch),Cereal (Malt-O-Meal Colossal Crunch),57305174,24,37,0,81.59,0,9.0,1.7,635,0,16.67,3.64,475,1.41,6.0,42.5,1.25,2.5,1.47,0.69,2.24,5.28,0,0.06,30.0,5,57,110,806,12.5,479,5.0,1.66,20.0,0.15,0.0,3
4259,Cereal (Malt-O-Meal Cocoa Dyno-Bites),Cereal (Malt-O-Meal Cocoa Dyno-Bites),57305175,0,0,0,87.93,0,3.4,1.1,1,0,17.23,4.15,776,1.48,8.7,43.15,1.3,3.0,0.25,0.21,2.58,3.43,17,0.162,6.21,28,69,181,534,5.96,776,5.17,1.72,0.0,0.06,0.0,3
4260,Cereal (Malt-O-Meal Corn Bursts),Cereal (Malt-O-Meal Corn Bursts),57305180,30,46,0,90.59,0,4.7,1.9,780,0,32.25,3.32,695,2.74,6.5,46.88,2.42,2.5,0.084,0.157,0.093,0.35,5,0.058,5.8,4,37,71,855,4.84,700,4.84,3.23,48.4,0.07,0.0,3
4261,Cereal (Malt-O-Meal Frosted Flakes),Cereal (Malt-O-Meal Frosted Flakes),57305210,36,54,0,90.2,0,5.4,1.2,763,0,16.12,4.25,448,1.37,5.5,39.27,1.21,3.0,0.171,0.435,0.107,0.87,3,0.12,11.6,12,46,82,451,0.24,454,4.84,1.61,19.4,0.09,0.2,3
4262,Cereal (Malt-O-Meal Fruity Dyno-Bites),Cereal (Malt-O-Meal Fruity Dyno-Bites),57305300,0,0,0,90.1,1,3.4,1.0,0,0,26.5,3.9,1090,2.51,9.0,42.6,1.46,1.2,2.12,0.258,0.64,3.15,3,0.128,7.62,15,67,76,630,5.99,1090,6.9,2.74,1.0,1.27,0.2,3
4263,Cereal (Malt-O-Meal Honey Graham Squares),Cereal (Malt-O-Meal Honey Graham Squares),57305400,13,21,0,85.1,0,15.2,5.6,410,0,16.1,5.3,470,1.4,5.6,35.0,1.2,2.2,1.6,1.0,0.4,3.2,323,0.206,14.5,26,129,206,772,12.1,472,4.8,1.613,19.4,0.64,2.0,3
4264,Cereal (Malt-O-Meal Honey Nut Toasty O's),Cereal (Malt-O-Meal Honey Nut Toasty O's),57305500,0,1,0,79.69,0,20.6,7.1,50,0,21.4,8.85,834,1.867,16.0,32.89,1.917,2.86,1.104,1.024,0.529,5.0,425,0.234,20.58,90,328,412,566,17.17,834,7.5,2.267,21.4,0.48,2.3,3
4265,Cereal (Malt-O-Meal Marshmallow Mateys),Cereal (Malt-O-Meal Marshmallow Mateys),57305600,0,0,0,82.77,0,19.4,4.9,76,0,16.67,6.94,500,1.41,14.6,40.91,1.25,2.19,1.42,1.3,0.719,3.53,333,0.202,30.0,71,232,186,667,12.5,500,5.0,1.66,20.0,0.2,0.9,3
4266,Cereal (Malt-O-Meal Golden Puffs),Cereal (Malt-O-Meal Golden Puffs),57306500,0,0,0,88.5,0,15.6,5.0,92,0,18.5,5.7,556,1.57,29.1,56.2,1.39,2.9,0.4,0.5,0.5,2.2,14,0.195,1.5,59,213,183,142,1.7,556,5.6,1.85,22.0,0.41,2.8,3
4267,Cereal (Malt-O-Meal Toasted Oat Cereal),Cereal (Malt-O-Meal Toasted Oat Cereal),57306700,0,0,0,73.2,0,26.2,10.1,159,0,17.9,12.4,990,0.1,24.9,4.5,1.3,3.76,2.3,2.4,1.6,6.6,357,0.387,28.9,114,357,633,497,13.4,990,6.77,1.79,21.4,0.41,2.0,3
4268,Cereal (Malt-O-Meal Tootie Fruities),Cereal (Malt-O-Meal Tootie Fruities),57306800,24,37,0,85.94,0,5.8,2.2,625,0,15.63,4.69,444,1.33,9.9,45.31,1.16,2.5,1.47,0.976,0.687,3.2,313,0.064,28.12,24,78,104,453,11.72,448,4.69,1.55,18.8,0.01,0.1,3
4269,Cereal,"Cereal, muesli",57308190,7,12,0,74.9,0,22.4,7.7,259,0,9.1,8.6,156,0.76,21.2,25.1,0.68,10.0,2.5,1.39,0.6,5.4,36,0.329,8.19,67,225,324,239,2.59,157,10.89,3.64,0.3,9.82,1.6,3
4270,Cereal (General Mills Cheerios Multigrain),Cereal (General Mills Cheerios Multigrain),57308400,18,28,0,81.4,0,23.6,8.7,404,0,17.2,8.3,499,1.5,27.7,21.2,1.29,2.5,1.2,1.7,0.89,4.09,345,0.265,27.89,55,276,483,401,12.89,502,5.19,1.72,20.7,0.62,1.8,3
4272,Cereal (General Mills Cheerios Oat Cluster Crunch),Cereal (General Mills Cheerios Oat Cluster Crunch),57316380,2,3,0,80.7,0,28.3,7.0,148,0,18.5,8.5,554,1.6,21.1,27.9,1.4,2.6,1.6,1.8,1.0,4.6,296,0.282,16.7,59,222,285,489,13.9,554,5.6,1.852,22.2,0.31,1.4,3
4273,Cereal (General Mills Cheerios Protein),Cereal (General Mills Cheerios Protein),57316385,0,0,0,76.13,0,40.6,7.3,84,0,15.885,12.39,730,0.801,16.5,29.48,1.307,2.94,1.436,1.559,0.929,5.07,325,0.433,20.64,86,363,484,477,12.69,730,5.71,1.634,17.1,0.36,1.7,3
4279,Cereal (Quaker Toasted Oat Bran),Cereal (Quaker Toasted Oat Bran),57327450,9,14,0,74.9,0,24.6,10.2,310,0,9.78,12.38,358,0.82,7.0,16.34,0.72,4.0,1.58,2.04,0.91,5.11,242,0.317,29.9,168,518,438,365,7.72,359,0.0,0.89,11.5,3.11,2.1,3
4280,Cereal (Quaker Oatmeal Squares),Cereal (Quaker Oatmeal Squares),57327500,0,1,0,77.77,0,31.6,8.3,136,0,9.57,11.38,356,0.85,6.9,16.69,0.683,2.75,1.594,1.523,0.873,4.83,201,0.474,29.3,115,371,357,347,7.18,356,0.0,0.88,11.5,4.86,1.6,3
4281,Cereal,"Cereal, raisin bran",57329000,0,2,0,79.64,0,25.7,12.0,110,0,8.485,7.62,316,0.71,22.2,32.97,0.615,8.05,0.353,0.852,0.36,1.74,38,0.454,16.77,152,339,536,424,5.08,316,2.52,0.825,0.4,0.36,1.1,3
4282,Cereal (Kellogg's Raisin Bran),Cereal (Kellogg's Raisin Bran),57330000,0,2,0,77.29,0,24.3,11.4,97,0,13.8,7.72,386,1.08,4.6,31.3,0.753,10.4,0.339,0.949,0.48,2.72,43,0.456,12.33,122,347,653,356,3.39,386,2.0,1.843,0.0,0.66,2.1,3
4284,Cereal (Post Raisin Bran),Cereal (Post Raisin Bran),57331000,0,2,0,78.9,0,27.3,13.7,101,0,8.5,7.6,380,0.7,5.9,32.9,0.6,8.6,0.349,0.796,0.296,1.6,44,0.4,18.3,168,339,525,382,3.8,380,2.5,0.8,0.9,0.54,1.9,3
4286,Cereal (General Mills Reese's Puffs),Cereal (General Mills Reese's Puffs),57335550,27,41,0,75.6,0,18.4,4.7,577,0,17.2,6.8,490,1.5,6.5,35.3,1.3,2.6,4.7,3.7,2.1,11.1,345,0.229,15.5,55,207,244,555,12.9,495,5.2,1.724,20.7,23.64,1.8,3
4287,Cereal (General Mills Chex Rice),Cereal (General Mills Chex Rice),57336000,0,0,0,85.09,0,17.5,2.0,0,0,18.5,6.4,556,1.6,19.6,8.0,1.39,2.59,0.6,0.69,0.5,1.89,370,0.26,33.29,30,148,188,809,13.89,556,5.59,1.85,22.2,0.35,1.0,3
4288,Cereal,"Cereal, rice flakes",57337000,0,0,0,86.22,0,6.0,0.7,0,0,28.967,6.69,1136,1.288,18.0,12.12,2.05,3.62,0.243,0.293,0.36,1.26,5,0.149,32.73,23,98,106,545,1.3,1136,5.45,1.937,64.5,0.06,0.0,3
4289,Cereal (Kellogg's Rice Krispies),Cereal (Kellogg's Rice Krispies),57339000,0,0,0,85.05,0,6.0,0.4,0,0,17.967,6.75,1136,1.29,19.6,9.87,1.77,5.06,0.593,0.626,0.458,2.05,5,0.186,30.42,27,125,125,527,1.39,1136,7.23,2.35,63.3,26.64,0.0,3
4290,Cereal (Kellogg's Rice Krispies Treats Cereal),Cereal (Kellogg's Rice Krispies Treats Cereal),57339500,0,0,0,85.59,1,2.5,0.4,0,0,16.7,4.3,500,1.41,5.7,29.6,1.25,3.5,1.2,0.2,0.89,4.19,10,0.107,6.0,21,62,51,567,0.69,500,5.0,1.66,20.0,0.36,1.0,3
4292,Cereal (Kellogg's Smart Start Strong),Cereal (Kellogg's Smart Start Strong),57341200,0,150,0,86.8,0,14.9,5.4,80,0,40.0,7.5,675,3.4,28.7,27.79,3.0,2.5,0.1,0.5,0.3,1.5,29,0.263,36.0,29,131,182,398,30.0,688,12.0,4.0,30.0,27.0,1.1,3
4293,Cereal (Kellogg's Smorz),Cereal (Kellogg's Smorz),57341300,0,0,0,87.2,0,4.5,3.8,0,0,17.637,3.34,1324,1.499,6.5,43.7,1.323,3.42,2.079,0.231,0.961,3.5,70,0.24,15.87,36,141,176,534,0.56,1324,5.29,1.764,52.9,0.11,0.6,3
4294,Cereal (Kellogg's Special K),Cereal (Kellogg's Special K),57344000,0,0,0,73.4,0,11.0,1.4,0,0,22.6,17.79,500,1.91,54.9,12.69,1.69,3.0,0.3,0.4,0.4,1.79,23,0.179,28.0,12,48,53,667,0.69,500,19.4,6.44,68.0,15.3,0.1,3
4295,Cereal (Kellogg's Special K Blueberry),Cereal (Kellogg's Special K Blueberry),57344001,2,11,2,86.3,0,16.8,8.6,140,0,23.3,6.9,744,1.98,25.9,26.7,1.75,3.5,0.1,0.5,0.4,1.5,18,0.338,27.0,55,164,204,481,1.3,745,7.0,2.33,70.0,0.0,5.3,3
4296,Cereal (Kellogg's Special K Chocolatey Delight),Cereal (Kellogg's Special K Chocolatey Delight),57344005,0,2,0,81.2,0,28.5,10.6,83,0,22.6,6.5,725,1.92,31.6,29.9,1.69,3.0,0.2,0.6,6.3,7.3,18,0.38,26.1,61,175,272,582,1.4,725,6.8,2.26,68.0,0.53,1.8,3
4297,Cereal (Kellogg's Special K Red Berries),Cereal (Kellogg's Special K Red Berries),57344010,0,3,0,87.09,0,14.3,8.5,66,0,22.6,6.3,498,1.91,13.0,29.7,1.69,3.0,0.3,0.5,0.3,1.29,24,0.246,26.1,59,166,229,619,1.29,499,6.8,2.25,68.0,15.3,1.2,3
4298,Cereal (Kellogg's Special K Fruit & Yogurt),Cereal (Kellogg's Special K Fruit & Yogurt),57344015,0,2,0,85.3,0,18.2,8.1,82,0,21.9,7.1,702,1.86,29.5,32.1,1.64,3.0,0.1,0.3,1.4,2.9,27,0.313,25.3,51,157,188,452,1.2,702,6.6,2.19,66.0,0.0,1.2,3
4299,Cereal (Kellogg's Special K Vanilla Almond),Cereal (Kellogg's Special K Vanilla Almond),57344020,0,2,0,83.0,0,17.4,9.6,73,0,23.29,7.8,749,1.98,28.5,29.2,1.75,3.0,2.0,1.1,0.4,4.0,34,0.279,27.0,74,204,254,559,1.6,749,7.0,2.32,70.0,1.64,0.7,3
4300,Cereal (Kellogg's Special K Cinnamon Pecan),Cereal (Kellogg's Special K Cinnamon Pecan),57344025,0,0,0,81.2,0,18.7,10.3,85,0,23.3,7.5,750,1.98,29.2,24.0,1.75,3.0,2.8,2.1,0.7,6.0,30,0.312,27.0,67,191,267,650,1.5,750,7.0,2.33,70.0,0.44,0.9,3
4301,Cereal (Kellogg's Corn Pops),Cereal (Kellogg's Corn Pops),57347000,39,60,0,89.7,0,7.1,8.4,1066,0,16.7,4.8,460,1.42,6.5,31.3,1.25,3.0,0.2,0.5,0.5,1.3,7,0.083,6.0,28,52,113,357,5.0,467,5.0,1.67,20.0,0.12,0.0,3
4302,Cereal,"Cereal, frosted corn flakes",57348000,36,54,0,90.2,0,5.4,1.2,763,0,16.12,4.25,448,1.37,5.5,39.27,1.21,3.0,0.171,0.435,0.107,0.87,3,0.12,11.6,12,46,82,451,0.24,454,4.84,1.61,19.4,0.09,0.2,3
4303,Cereal (Kellogg's Frosted Flakes),Cereal (Kellogg's Frosted Flakes),57349000,5,21,40,89.2,0,1.9,2.2,676,0,27.667,3.96,446,1.73,3.3,35.43,1.903,4.18,0.265,0.669,0.451,1.68,3,0.039,26.7,8,47,76,468,0.15,450,8.1,3.573,24.2,0.07,0.2,3
4304,Cereal (Post Golden Crisp),Cereal (Post Golden Crisp),57355000,0,2,0,90.1,0,13.8,5.0,92,0,18.5,5.5,832,1.6,48.6,53.6,1.4,1.4,0.6,0.6,0.2,1.7,15,0.2,6.7,59,227,176,95,5.6,832,5.6,1.9,0.0,0.33,0.9,3
4305,Cereal,"Cereal, toasted oat",57401100,0,0,0,75.96,0,14.9,10.7,132,0,17.857,10.71,1071,1.518,47.0,3.57,1.339,3.68,1.786,1.786,0.926,5.36,357,0.429,32.14,143,536,607,571,13.39,1071,5.36,1.786,21.4,0.43,1.3,3
4306,Cereal (General Mills Trix),Cereal (General Mills Trix),57407100,41,62,0,86.19,0,10.7,3.9,951,0,18.79,4.9,662,1.89,6.5,32.0,1.6,1.89,1.79,1.39,0.5,3.79,313,0.117,16.89,25,188,162,500,14.1,669,4.69,2.18,18.8,0.5,1.3,3
4308,Cereal (General Mills Chex Wheat),Cereal (General Mills Chex Wheat),57411000,0,5,0,82.2,0,28.5,12.2,191,0,10.6,9.8,317,0.9,5.0,10.3,0.8,2.5,0.3,1.0,0.4,1.8,213,0.397,30.6,85,319,369,570,11.2,317,3.2,1.064,12.8,0.68,1.8,3
4309,Wheat germ,"Wheat germ, plain",57412000,0,62,0,49.6,0,178.6,15.1,790,0,5.59,29.1,0,0.82,65.0,7.8,1.67,5.6,1.5,6.62,1.83,10.7,45,0.62,9.09,320,1146,947,4,16.67,5,0.0,0.978,6.0,15.99,4.0,3
4311,Cereal,"Cereal, puffed wheat, sweetened",57416010,0,0,0,88.5,0,15.6,5.0,92,0,18.5,5.7,556,1.57,29.1,56.2,1.39,2.9,0.4,0.5,0.5,2.2,14,0.195,1.5,59,213,183,142,1.7,556,5.6,1.85,22.0,0.41,2.8,3
4313,Cereal (General Mills Wheaties),Cereal (General Mills Wheaties),57418000,0,4,0,83.3,0,32.9,10.1,178,0,37.0,8.3,553,3.1,4.7,15.2,2.8,2.6,0.4,1.2,0.5,2.3,74,0.267,33.3,89,296,328,732,27.8,554,11.1,3.704,22.2,0.64,1.7,3
4314,Wheat bran,"Wheat bran, unprocessed",57601100,0,6,0,64.51,0,74.4,42.8,240,0,13.578,15.55,0,0.577,77.6,0.41,0.523,9.89,0.637,2.212,0.63,4.25,73,0.998,10.57,611,1013,1182,2,7.27,0,0.0,1.303,0.0,1.49,1.9,3
4317,Barley cereal,"Barley cereal, baby food, dry, instant",57801000,0,0,0,69.4,0,45.4,6.6,170,0,14.28,13.2,0,1.07,30.2,13.2,0.892,6.8,1.45,3.859,0.894,6.6,643,0.467,48.21,115,333,467,33,3.13,0,3.57,0.714,0.0,5.0,2.3,3
4318,Mixed cereal,"Mixed cereal, baby food, dry, instant",57803000,0,0,0,78.21,0,23.2,6.7,148,0,15.0,6.66,0,1.333,25.9,26.66,1.166,6.7,1.206,1.697,0.769,6.66,800,0.334,30.0,100,333,467,33,10.66,0,5.0,1.166,58.3,4.21,1.5,3
4319,Oatmeal cereal,"Oatmeal cereal, baby food, dry, instant",57804000,0,0,0,73.48,0,27.0,7.3,185,0,21.348,10.99,0,1.586,23.4,11.67,1.431,4.56,1.564,1.748,0.841,6.36,1160,0.419,64.1,110,506,549,21,12.68,0,4.6,0.853,0.0,12.23,1.4,3
4320,Rice cereal,"Rice cereal, baby food, dry, instant",57805000,0,0,0,83.14,0,18.0,1.3,0,0,23.006,6.65,0,1.459,5.0,4.85,1.195,5.13,0.42,0.784,0.234,2.19,860,0.231,53.01,37,273,281,32,10.92,0,4.6,0.885,2.4,5.0,0.5,3
4321,Rice cereal with apples,"Rice cereal with apples, baby food, dry, instant",57805080,0,4,3,86.89,0,10.1,3.0,8,0,20.0,6.7,0,1.5,11.6,3.22,1.3,3.2,0.615,0.92,0.503,2.4,850,0.373,37.0,15,423,410,16,1.4,0,0.0,0.09,0.0,0.22,1.5,3
4322,Rice cereal with mixed fruits,"Rice cereal with mixed fruits, baby food, dry, instant",57805090,0,0,0,88.5,0,6.6,2.6,1,0,25.24,6.6,0,1.88,16.3,1.35,1.6,2.0,0.252,0.231,0.185,0.9,38,0.377,9.0,37,253,414,2,3.3,0,0.0,0.09,250.0,0.13,0.3,3
4323,Rice cereal with bananas,"Rice cereal with bananas, baby food, dry, instant",57805100,11,12,0,79.9,0,25.8,1.0,39,0,23.32,8.7,0,3.8,11.6,16.7,3.97,4.7,0.986,1.503,0.978,4.2,691,0.254,47.5,141,410,769,0,1.5,1,0.0,0.686,2.0,0.37,3.8,3
4324,Brown rice cereal,"Brown rice cereal, baby food, dry, instant",57805500,0,0,0,85.98,0,33.4,6.5,0,0,16.0,8.7,0,0.17,23.4,0.72,0.93,1.0,1.085,1.072,0.61,3.0,55,0.368,47.6,28,272,386,12,0.0,0,0.0,0.98,0.0,0.65,0.7,3
4325,Mixed cereal with bananas,"Mixed cereal with bananas, baby food, dry, instant",57806000,49,51,0,77.1,0,28.6,7.8,96,0,20.56,10.7,0,3.56,20.0,6.68,3.78,4.5,1.223,1.734,0.846,4.6,696,0.256,47.5,90,367,668,0,1.4,6,0.24,0.408,3.6,0.51,3.5,3
4326,Multigrain,"Multigrain, whole grain cereal, baby food, dry, instant",57806050,0,0,0,80.06,0,27.1,6.7,64,0,15.0,6.67,0,1.33,31.7,26.67,1.166,4.58,1.291,2.596,1.058,6.67,800,0.225,30.0,95,333,467,33,10.67,0,4.69,1.166,58.3,4.22,7.0,3
